"State","Percent of patients who reported that their nurses 'Sometimes' or 'Never' communicated well.","Percent of patients who reported that their nurses 'Usually' communicated well.","Percent of patients who reported that their nurses 'Always' communicated well.","Percent of patients who reported that their doctors 'Sometimes' or 'Never' communicated well.","Percent of patients who reported that their doctors 'Usually' communicated well.","Percent of patients who reported that their doctors 'Always' communicated well.","Percent of patients who reported that they 'Sometimes' or 'Never' received help as soon as they wanted.","Percent of patients who reported that they 'Usually' received help as soon as they wanted.","Percent of patients who reported that they 'Always' received help as soon as they wanted.","Percent of patients who reported that their pain was 'Sometimes' or 'Never' well controlled.","Percent of patients who reported that their pain was 'Usually' well controlled.","Percent of patients who reported that their pain was 'Always' well controlled.","Percent of patients who reported that staff 'Sometimes' or 'Never' explained about medicines before giving it to them.","Percent of patients who reported that staff 'Usually' explained about medicines before giving it to them.","Percent of patients who reported that staff 'Always' explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were 'Sometimes' or 'Never' clean.","Percent of patients who reported that their room and bathroom were 'Usually' clean.","Percent of patients who reported that their room and bathroom were 'Always' clean.","Percent of patients who reported that the area around their room was 'Sometimes' or 'Never' quiet at night.","Percent of patients who reported that the area around their room was 'Usually' quiet at night.","Percent of patients who reported that the area around their room was 'Always' quiet at night.","Percent of patients at each hospital who reported that YES they were given information about what to do during recovery.","Percent of patients who reported that they were not given information about what to do during their recovery at home.","Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).","Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).","Percent of patients who reported NO they would not recommend the hospital.","Percent of patients who reported YES they would probably recommend the hospital.","Patients who reported YES they would definitely recommend the hospital."
"AK","4","19","77","4","15","81","9","24","67","6","25","69","15","18","67","9","20","71","9","31","60","85","15","9","25","66","4","26","70"
"AL","6","15","79","3","11","86","11","22","67","8","21","71","19","16","65","11","19","70","6","23","71","82","18","8","22","70","5","25","70"
"AR","5","17","78","4","13","83","9","24","67","7","22","71","20","17","63","9","19","72","8","26","66","81","19","9","22","69","6","25","69"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","5","19","76","6","17","77","10","24","66","7","23","70","20","18","62","10","19","71","12","31","57","84","16","9","22","69","6","23","71"
"CA","7","20","73","6","17","77","13","27","60","8","24","68","23","18","59","10","20","70","17","33","50","82","18","10","23","67","7","24","69"
"CO","4","18","78","4","15","81","7","23","70","6","23","71","16","19","65","7","18","75","7","29","64","86","14","7","19","74","4","20","76"
"CT","5","18","77","5","16","79","11","27","62","7","24","69","20","21","59","8","20","72","16","33","51","82","18","9","24","67","5","24","71"
"DC","10","21","69","7","17","76","21","27","52","12","24","64","26","18","56","17","22","61","15","29","56","77","23","13","29","58","9","28","63"
"DE","4","18","78","4","16","80","10","24","66","7","23","70","21","18","61","8","20","72","16","31","53","82","18","8","24","68","5","25","70"
"FL","7","20","73","6","17","77","14","26","60","9","24","67","24","18","58","11","21","68","13","30","57","81","19","11","24","65","8","24","68"
"GA","5","17","78","4","13","83","12","23","65","8","21","71","21","16","63","10","19","71","9","25","66","82","18","9","22","69","6","25","69"
"GU","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"HI","5","19","76","4","16","80","11","26","63","7","23","70","18","19","63","6","20","74","14","33","53","82","18","9","23","68","5","25","70"
"IA","3","16","81","3","13","84","6","24","70","5","24","71","15","20","65","5","17","78","7","30","63","86","14","6","20","74","3","22","75"
"ID","4","17","79","4","14","82","7","22","71","6","23","71","16","18","66","6","18","76","8","29","63","88","12","6","20","74","3","22","75"
"IL","5","18","77","4","15","81","10","25","65","7","23","70","20","19","61","9","19","72","12","31","57","84","16","9","23","68","5","27","68"
"IN","3","17","80","4","14","82","7","24","69","5","23","72","19","18","63","7","18","75","9","32","59","85","15","7","20","73","4","23","73"
"KS","3","17","80","3","13","84","6","23","71","5","23","72","16","19","65","7","17","76","7","28","65","85","15","5","20","75","3","21","76"
"KY","4","16","80","3","13","84","9","23","68","7","21","72","19","17","64","8","18","74","9","28","63","84","16","8","22","70","5","25","70"
"LA","4","14","82","3","11","86","10","19","71","7","18","75","17","15","68","9","17","74","6","21","73","83","17","7","19","74","4","21","75"
"MA","5","16","79","5","15","80","10","25","65","7","22","71","19","18","63","8","19","73","15","33","52","87","13","8","23","69","4","23","73"
"MD","7","19","74","6","16","78","14","27","59","9","23","68","23","19","58","13","22","65","13","31","56","83","17","10","25","65","6","27","67"
"ME","3","16","81","4","13","83","7","22","71","5","22","73","15","18","67","5","16","79","9","32","59","87","13","6","20","74","3","21","76"
"MI","4","17","79","4","16","80","8","23","69","6","23","71","19","19","62","8","20","72","11","32","57","86","14","7","22","71","5","25","70"
"MN","3","18","79","3","14","83","6","22","72","5","24","71","16","20","64","6","17","77","7","29","64","86","14","6","22","72","3","24","73"
"MO","4","18","78","4","15","81","9","26","65","7","24","69","20","19","61","9","19","72","11","30","59","85","15","9","22","69","5","26","69"
"MP","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MS","5","15","80","4","11","85","11","23","66","8","20","72","21","16","63","10","18","72","7","23","70","79","21","10","22","68","6","27","67"
