"Measure Name","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"Statin Prescribed at Discharge","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Cardiac Surgery Patients with Controlled 6 A.M. Postoperative Blood Glucose","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Surgery Patients with Perioperative Temperature Management","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Surgery Patients with Recommended Venous Thromboembolism Prophylaxis Ordered","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Relievers or Inpatient Asthma","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Systemic Corticosteroids for Inpatient Asthma","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Median Time from ED Arrival to ED Departure for Admitted ED Patients","1Q2012","1/1/2012","1Q2012","3/31/2012"
"Admit Decision Time to ED Departure Time for Admitted Patients","1Q2012","1/1/2012","1Q2012","3/31/2012"
"Pneumococcal Immunization","1Q2012","1/1/2012","1Q2012","3/31/2012"
"Influenza Immunization","1Q2012","1/1/2012","1Q2012","3/31/2012"
"Participates in a Systematic Database for Cardiac Surgery","1Q2011","1/1/2011","4Q2011","12/31/2011"
"Participates in a Systematic Clinical Database Registry for Stroke Care","1Q2011","1/1/2011","4Q2011","12/31/2011"
"Participates in a Systematic Clinical Database Registry for Nursing Sensitive Care","1Q2011","1/1/2011","4Q2011","12/31/2011"
"Patient satisfaction survey results","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Cleanliness of Hospital Environment","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Quietness of Hospital Environment","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Discharge Information","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Overall Rating of this Hospital","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Willingness to Recommend this Hospital","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","3Q2008","7/1/2008","2Q2011","6/30/2011"
"Heart Failure (HF) 30-Day Mortality Rate","3Q2008","7/1/2008","2Q2011","6/30/2011"
"Pneumonia (PN) 30-Day Mortality Rate","3Q2008","7/1/2008","2Q2011","6/30/2011"
"Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","3Q2008","7/1/2008","2Q2011","6/30/2011"
"Heart  Failure (HF) 30-Day Readmission Rate","3Q2008","7/1/2008","2Q2011","6/30/2011"
"Pneumonia (PN) 30-Day Readmission Rate","3Q2008","7/1/2008","2Q2011","6/30/2011"
"Death among surgical inpatients with serious treatable complications","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Iatrogenic pneumothorax, adult ","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Post-Operative Respiratory Failure","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Post-Operative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT)","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Postoperative wound dehiscence","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Accidental puncture or laceration","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Complication/patient safety for selected indicators (composite)","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Abdominal aortic aneurysm (AAA) repair mortality","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Hip fracture mortality rate","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Mortality for selected medical conditions (composite)","3Q2009","7/1/2009","2Q2011","6/30/2011"
"MPV","4Q2010","10/1/2010","3Q2011","9/30/2011"
"Foreign object retained after surgery","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Air embolism","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Blood incompatibility","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Pressure ulcer stages III and IV","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Falls and trauma","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Vascular catheter-associated infection","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Catheter-associated UTI","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Manifestations of poor glycemic control","3Q2009","7/1/2009","2Q2011","6/30/2011"
"Central Line Associated Bloodstream Infection","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Catheter Associated Urinary Tract Infections","1Q2012","1/1/2012","1Q2012","3/31/2012"
"SSI - Colon Surgery","1Q2012","1/1/2012","1Q2012","3/31/2012"
"SSI - Abdominal Hysterectomy","1Q2012","1/1/2012","1Q2012","3/31/2012"
"Aspirin Prescribed at Discharge","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Primary PCI Received Within 90 Minutes of Hospital Arrival","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Discharge Instructions","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Evaluation of LVS Function","2Q2011","4/1/2011","1Q2012","3/31/2012"
