"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Number of Patients 1","Footnote 1","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Number of Patients 2","Footnote 2","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Number of Patients 3","Footnote 3"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","","","NEW BRUNSWICK","NJ","08901","MIDDLESEX","7327458600","100","162","","99","162","","73","162",""
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","","","ALBUQUERQUE","NM","87106","BERNALILLO","5052722111","100","139","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","138","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","137","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"170123","WESLEY MEDICAL CENTER","550 N HILLSIDE ST","","","WICHITA","KS","67214","SEDGWICK","3169622000","100","136","","100","136","","99","136",""
"180018","ST CLAIRE REGIONAL MEDICAL CENTER","222 MEDICAL CIRCLE","","","MOREHEAD","KY","40351","ROWAN","6067836500","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"180088","NORTON HOSPITALS, INC","200 EAST CHESTNUT STREET","","","LOUISVILLE","KY","40202","JEFFERSON","5026296560","100","569","","99","568","","91","564",""
"190125","ST FRANCIS MEDICAL CENTER","309 JACKSON STREET","","","MONROE","LA","71201","OUACHITA","3189664000","100","50","","98","50","","92","50",""
"210003","PRINCE GEORGES HOSPITAL CENTER","3001 HOSPITAL DRIVE","","","CHEVERLY","MD","20785","PRINCE GEORGES","3016182000","100","11","The number of cases is too small to reliably tell how well a hospital is performing","91","11","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"210033","CARROLL HOSPITAL CENTER","200 MEMORIAL AVE","","","WESTMINSTER","MD","21157","CARROLL","4108716900","100","24","The number of cases is too small to reliably tell how well a hospital is performing","100","24","The number of cases is too small to reliably tell how well a hospital is performing","86","21","The number of cases is too small to reliably tell how well a hospital is performing"
"223302","BOSTON CHILDREN'S HOSPITAL","300 LONGWOOD AVENUE","","","BOSTON","MA","02115","SUFFOLK","6177356000","100","356","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","356","The hospital indicated that the data submitted for this measure were based on a sample of cases","79","355","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","100","221","","100","221","","63","221",""
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","","","FAIRBANKS","AK","99701","FAIRBANKS NORTH STAR","9074528181","100","23","The number of cases is too small to reliably tell how well a hospital is performing","100","23","The number of cases is too small to reliably tell how well a hospital is performing","95","22","The number of cases is too small to reliably tell how well a hospital is performing"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","","","TUCSON","AZ","85724","PIMA","5206940111","100","158","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","157","The hospital indicated that the data submitted for this measure were based on a sample of cases","80","158","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"210043","BALTIMORE WASHINGTON  MEDICAL CENTER","301 HOSPITAL DR","","","GLEN BURNIE","MD","21061","ANNE ARUNDEL","4105951967","100","50","","100","50","","98","47",""
"220077","BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET","","","SPRINGFIELD","MA","01199","HAMPDEN","4137940000","100","101","","100","99","","85","102",""
"230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","","","GRAND RAPIDS","MI","49503","KENT","6163911774","100","184","","99","183","","95","184",""
"233300","CHILDREN'S HOSPITAL OF MICHIGAN","3901 BEAUBIEN","","","DETROIT","MI","48201","WAYNE","3137455437","100","339","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","339","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","338","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"240004","HENNEPIN COUNTY MEDICAL CENTER","701 PARK AVENUE","","","MINNEAPOLIS","MN","55415","HENNEPIN","6128733000","100","32","","100","32","","84","31","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","","","MINNEAPOLIS","MN","55454","HENNEPIN","6122733000","100","27","","96","27","","78","27",""
"243302","CHILDREN'S HOSPITALS & CLINICS OF MN","2525 CHICAGO AVENUE SOUTH","","","MINNEAPOLIS","MN","55404","HENNEPIN","6128136112","100","288","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","288","The hospital indicated that the data submitted for this measure were based on a sample of cases","79","288","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"260020","MERCY HOSPITAL ST LOUIS","615 NEW BALLAS ROAD","","","SAINT LOUIS","MO","63141","SAINT LOUIS","3145696000","100","170","","100","170","","86","170",""
"260091","SSM ST MARYS HEALTH CENTER","6420 CLAYTON RD","","","RICHMOND HEIGHTS","MO","63117","SAINT LOUIS","3147688000","100","320","","100","320","","99","320",""
"013301","UNIV OF S AL CHILDREN'S & WOMEN'S HOS","1700 CENTER STREET","","","MOBILE","AL","36604","MOBILE","2514151000","100","139","","99","139","","61","139","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","","","MESA","AZ","85202","MARICOPA","4804123000","100","412","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","411","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","412","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","","","TUBA CITY","AZ","86045","COCONINO","9282832501","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","","","JONESBORO","AR","72401","CRAIGHEAD","8709724100","100","22","The number of cases is too small to reliably tell how well a hospital is performing","100","22","The number of cases is too small to reliably tell how well a hospital is performing","76","21","The number of cases is too small to reliably tell how well a hospital is performing"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","","","JONESBORO","AR","72401","CRAIGHEAD","8709727000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"043300","ARKANSAS CHILDREN'S HOSPITAL","800 MARSHALL STREET SLOT 301","","","LITTLE ROCK","AR","72202","PULASKI","5013641100","100","169","","99","169","","87","169",""
"050045","EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","","","EL CENTRO","CA","92243","IMPERIAL","7603397100","100","35","","100","35","","69","35",""
"050104","SAINT FRANCIS MEDICAL CENTER","3630 EAST IMPERIAL HIGHWAY","","","LYNWOOD","CA","90262","LOS ANGELES","3109008900","100","68","","100","68","","98","64",""
"050327","LOMA LINDA UNIVERSITY MEDICAL CENTER","11234 ANDERSON ST","","","LOMA LINDA","CA","92354","SAN BERNARDINO","9095584000","100","190","","99","190","","63","186",""
"050599","UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","2315 STOCKTON BOULEVARD","","","SACRAMENTO","CA","95817","SACRAMENTO","9167342011","100","123","","100","123","","77","122","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"053305","LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD","725 WELCH ROAD","","","PALO ALTO","CA","94304","SANTA CLARA","6504978000","100","128","","99","126","","96","127","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"053309","MILLER CHILDREN'S HOSPITAL","2801 ATLANTIC AVENUE","","","LONG BEACH","CA","90806","LOS ANGELES","5629338001","100","465","","100","464","","96","462",""
"063301","CHILDRENS HOSPITAL COLORADO","13123 EAST 16TH AVENUE","","","AURORA","CO","80045","ADAMS","7207771234","100","671","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","671","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","666","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","","","NEW HAVEN","CT","06504","NEW HAVEN","2036884242","100","305","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","303","The hospital indicated that the data submitted for this measure were based on a sample of cases","82","303","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"073300","CONNECTICUT CHILDRENS MEDICAL CENTER","282 WASHINGTON STREET","","","HARTFORD","CT","06106","HARTFORD","8605459000","100","331","","100","330","","86","331",""
"090003","HOWARD UNIVERSITY HOSPITAL","2041 GEORGIA AVE NW","","","WASHINGTON","DC","20060","DISTRICT OF COLUMBIA","2027456100","100","20","The number of cases is too small to reliably tell how well a hospital is performing","100","20","The number of cases is too small to reliably tell how well a hospital is performing","55","20","The number of cases is too small to reliably tell how well a hospital is performing"
"090004","GEORGETOWN UNIVERSITY HOSPITAL","3800 RESERVOIR RD","","","WASHINGTON","DC","20007","DISTRICT OF COLUMBIA","2027843000","100","47","","98","47","","89","47","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"093300","CHILDREN'S HOSPITAL NMC","111 MICHIGAN AVE, NW","","","WASHINGTON","DC","20010","DISTRICT OF COLUMBIA","2024765000","100","372","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","372","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","371","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100006","ORLANDO HEALTH","1414 S KUHL AVE","","","ORLANDO","FL","32806","ORANGE","3218415111","99","330","","99","329","","95","331",""
"100038","MEMORIAL REGIONAL HOSPITAL","3501 JOHNSON ST","","","HOLLYWOOD","FL","33021","BROWARD","9549872000","100","284","","100","282","","99","282",""
"100088","BAPTIST MEDICAL CENTER","800 PRUDENTIAL DR","","","JACKSONVILLE","FL","32207","DUVAL","9042022000","100","452","","100","451","","98","452",""
"110095","TIFT REGIONAL MEDICAL CENTER","901 E 18TH STREET","","","TIFTON","GA","31793","TIFT","2293827120","100","60","","100","60","","95","60",""
"283301","CHILDREN'S HOSPITAL & MEDICAL CENTER","8200 DODGE ST","","","OMAHA","NE","68114","DOUGLAS","4029555400","99","79","","99","79","","81","79",""
"290001","RENOWN REGIONAL MEDICAL CENTER","1155 MILL STREET","","","RENO","NV","89502","WASHOE","7759824100","100","60","","100","61","","98","61",""
