"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","92","164","","93","113",""
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","96","255","","94","109",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","100","84","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","85","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","89","46","","88","33",""
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","99","145","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","100","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","100","129","","98","52",""
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","100","138","","99","142",""
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","99","184","","100","139",""
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","97","60","","89","37",""
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","100","21","The number of cases is too small to reliably tell how well a hospital is performing","100","27","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","91","104","","95","41",""
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","100","196","","100","70",""
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","100","38","","94","17","The number of cases is too small to reliably tell how well a hospital is performing"
"010027","ELBA GENERAL HOSPITAL","987 DRAYTON STREET","","","ELBA","AL","36323","COFFEE","3348972257","100","12","The number of cases is too small to reliably tell how well a hospital is performing","100","24","The number of cases is too small to reliably tell how well a hospital is performing"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","99","136","","97","102",""
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","76","45","","62","32",""
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","98","613","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","267","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","93","46","","98","41",""
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","100","147","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","49","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","100","104","","99","89",""
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","100","95","","95","75",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","99","546","","97","316",""
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","100","266","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","172","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","94","36","","94","34",""
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","97","39","","89","37",""
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","95","75","","96","49",""
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","98","207","","92","133",""
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","100","15","The number of cases is too small to reliably tell how well a hospital is performing","96","24","The number of cases is too small to reliably tell how well a hospital is performing"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","100","107","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","77","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","100","94","","92","60",""
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
