"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","99","346","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","336","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","348","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","281","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","281","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","124","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","302","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","207","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","387","","99","380","","100","371","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","98","178","","99","174","","98","180","","97","294","","97","295","","Not Available","0","","99","204","","100","79","","97","94","","92","92","","100","374",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","100","328","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","311","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","329","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","263","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","264","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","68","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","160","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","504","","100","500","","100","375","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","100","34","","100","34","","94","34","","83","42","","83","42","","Not Available","0","","96","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","48",""
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","100","400","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","383","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","402","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","334","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","334","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","125","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","340","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","214","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","397","","98","397","","100","427","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","99","165","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","157","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","166","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","58","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","36","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","93","","98","93","","100","189","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","100","337","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","310","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","338","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","374","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","374","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","282","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","223","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","269","","95","268","","100","448","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","99","224","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","215","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","224","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","256","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","256","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","201","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","82","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","363","","99","364","","100","334","The hospital indicated that the data submitted for this measure were based on a sample of cases"
