"State","Percent of Heart Attack Patients Given Aspirin at Discharge","Percent of Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Percent of Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Percent of Heart Failure Patients Given Discharge Instructions","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Surgery patients who were given the right kind of antibiotic to help prevent infection","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on them","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG","Average number of minutes before outpatients with chest pain or possible heart attack  were transferred to another hospital","Median Time to Fibrinolysis","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival","Heart Attack Patients Given a Prescription for a Statin at Discharge","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Average Time Spent in the Emergency Department Before They Were Admitted to a Hospital Bed","Average Time Spent in the Emergency Department After the Doctor Decided to Admit Them","Average Time Patients Spent in the Emergency Department Before Being Sent Home","Average Time Patients Spent in the Emergency Department Before They Were Seen by a Healthcare Professional","Average Time Patients Who Came to the Emergency Department With Broken Bones Had to Wait Before Receiving Pain Medication","Percentage of Patients Who Came to the ER Dept With Stroke Symptoms Who Received Brain Scan Results Within 45 Minutes of Arrival","Percent of Patients Who Received Immunization for the Flu","Percent of Patients Who Received Immunization for Pneumonia"
"AK","99","83","89","96","98","92","95","95","97","98","98","95","96","95","95","96","Not Available","Not Available","Not Available","95","96","8","150","28","96","59","99","100","274","102","125","22","53","42","78","82"
"AL","99","64","96","98","97","92","98","95","99","98","99","97","98","96","96","97","Not Available","Not Available","Not Available","97","97","6","65","25","97","71","97","100","240","74","138","36","71","31","84","86"
"AR","99","62","93","98","96","94","97","93","98","97","98","97","98","96","93","96","Not Available","Not Available","Not Available","97","96","7","48","26","96","69","96","100","223","70","129","31","70","43","83","84"
"AZ","99","77","94","99","97","91","97","96","98","97","98","97","98","95","95","96","Not Available","Not Available","Not Available","97","97","7","51","36","97","26","98","100","292","102","170","28","60","36","86","89"
"CA","99","74","95","99","96","94","97","96","98","97","98","97","97","95","95","96","100","99","87","95","96","8","60","27","97","65","98","100","334","124","173","33","69","37","82","87"
"CO","99","25","94","98","97","93","97","95","98","97","99","97","98","94","93","96","Not Available","Not Available","Not Available","96","97","7","50","30","97","51","99","100","244","92","141","21","48","49","88","88"
"CT","99","100","94","100","94","89","96","96","98","97","98","98","98","96","94","95","Not Available","Not Available","Not Available","95","95","9","66","44","98","26","97","99","351","145","135","31","61","51","82","85"
"DC","98","Not Available","71","97","91","82","92","97","96","95","98","96","97","93","95","93","Not Available","Not Available","Not Available","92","94","12","75","Not Available","95","Not Available","96","99","452","214","200","63","83","0","81","82"
"DE","100","Not Available","94","100","98","94","95","94","99","98","99","97","98","98","95","96","Not Available","Not Available","Not Available","96","97","7","67","30","97","100","97","100","387","174","156","41","78","44","93","94"
"FL","99","22","96","99","98","94","98","97","99","98","98","98","98","96","95","97","Not Available","Not Available","Not Available","98","97","7","54","30","98","54","98","100","315","124","160","30","69","49","90","92"
"GA","99","55","94","99","96","89","97","95","98","97","98","97","98","96","94","96","Not Available","Not Available","Not Available","97","97","8","60","29","96","58","98","99","279","92","148","35","70","29","86","88"
"HI","98","67","86","99","94","92","96","95","99","97","99","96","97","94","95","95","Not Available","Not Available","Not Available","98","97","8","211","24","98","71","98","100","330","149","142","25","61","36","75","79"
"ID","100","Not Available","99","98","97","91","97","94","97","97","98","97","98","97","94","95","Not Available","Not Available","Not Available","95","97","9","53","30","96","57","98","99","238","84","130","19","51","20","82","86"
"IL","99","75","95","99","97","95","98","93","98","97","99","97","98","96","95","97","Not Available","Not Available","Not Available","96","97","6","63","28","97","66","98","100","265","92","142","33","57","52","88","90"
"IN","99","43","93","98","96","91","97","94","98","97","99","97","98","96","95","96","Not Available","Not Available","Not Available","97","97","6","45","28","96","62","97","99","239","80","133","27","55","51","87","88"
"KS","99","67","95","94","94","87","97","90","98","97","98","97","98","96","93","96","Not Available","Not Available","Not Available","96","97","7","68","30","96","51","98","100","180","55","107","21","48","38","84","85"
"KY","99","76","93","98","93","89","97","92","99","97","99","97","98","95","94","96","Not Available","Not Available","Not Available","95","96","7","60","28","96","60","97","100","244","78","133","28","61","37","87","91"
"LA","99","36","90","97","95","91","97","92","98","96","98","96","97","93","93","95","Not Available","Not Available","Not Available","96","96","11","107","30","94","51","96","100","266","87","132","32","66","36","79","83"
"MA","100","33","95","99","96","94","97","96","99","98","99","98","98","97","94","98","Not Available","Not Available","Not Available","96","97","8","59","24","97","74","98","100","311","117","152","40","61","60","88","90"
"MD","99","100","91","99","97","92","96","96","97","97","98","97","98","94","95","96","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","97","100","367","151","Not Available","Not Available","Not Available","Not Available","91","90"
"MI","99","76","93","99","95","92","97","96","98","97","99","98","99","96","94","96","Not Available","Not Available","Not Available","95","96","8","55","27","96","59","97","100","291","106","134","24","57","40","87","88"
"MN","99","Not Available","94","97","94","87","96","92","97","98","98","97","98","94","93","95","Not Available","Not Available","Not Available","94","97","7","52","27","97","60","98","99","202","61","126","27","48","39","86","86"
"MO","99","25","96","98","95","92","98","94","98","97","99","97","98","96","93","96","Not Available","Not Available","Not Available","97","98","8","71","36","96","37","98","99","239","77","138","30","59","54","89","89"
"MS","99","58","97","96","93","90","98","92","98","97","99","96","98","96","95","95","Not Available","Not Available","Not Available","97","98","10","63","34","95","42","97","100","217","60","122","35","70","31","80","85"
